data/pFNC/pFNC
objectives  2
criteria  -1 1 
minvalues 30000000000    0.4            
maxvalues 40000000000    1              
Size      : 39
0 32925133507    0.457325       0.394548       
1 32964372956    0.522316       0.381721       
2 32988229305    0.531075       0.36555        
3 33011312528    0.592262       0.372523       
4 33070525698    0.60102        0.356351       
5 33079285746    0.621716       0.366616       
6 33121569303    0.649971       0.343141       
7 33181557480    0.658729       0.326969       
8 33188229709    0.687743       0.363892       
9 33204804794    0.692143       0.236369       
10 33224876873    0.696501       0.347721       
11 33256202927    0.717197       0.357985       
12 33298486484    0.745451       0.33451        
13 33326645063    0.749851       0.232424       
14 33335908655    0.75421        0.318339       
15 33366459702    0.774905       0.328603       
16 33381721975    0.787624       0.227739       
17 33426130400    0.789197       0.231101       
18 33461235961    0.796382       0.218579       
19 33480334591    0.826969       0.226416       
20 33503562244    0.845332       0.223794       
21 33584723958    0.85409        0.214634       
22 33603047581    0.884678       0.22247        
23 33662417721    0.893436       0.206299       
24 33759176461    0.899696       0.224889       
25 33848328167    0.908455       0.208717       
26 33947204861    0.912723       0.200783       
27 33980014165    0.913557       0.222173       
28 34043963601    0.918983       0.219373       
29 34133115307    0.927741       0.203201       
30 34295167873    0.928091       0.206527       
31 34356896618    0.929405       0.196289       
32 34358637942    0.936849       0.190355       
33 34455463177    0.939223       0.197841       
34 34632893775    0.939572       0.201166       
35 34665189918    0.945143       0.188923       
36 34680985812    0.94833        0.184995       
37 34984757593    0.949181       0.188694       
38 34987537788    0.956624       0.183562       
